Target,Test RMSE,Test MAE,Test R2,CV RMSE
PM2.5,3.9462149860207494,2.953535995985464,0.9652569666249169,4.424342008412916
PM10,4.025102903678822,3.0050552730538675,0.9655694511202488,4.789734188981215
CO2,28.096041655675815,22.657082965316288,-1.7141089940918026,29.2386093005715
TVOC,32.68421373751341,26.640764537600507,0.6829730553466538,27.248914429358432
Temperature,2.212125453371742,1.7762376749262498,0.6712673945199565,2.199473603825397
Humidity,5.708067169857655,4.153358532150497,0.722045148084459,8.219067871362805
Pressure,0.12535577641839657,0.0951619753272187,0.9959979991765187,0.12897351880940186
