Target,Test RMSE,Test MAE,Test R2,CV RMSE
PM2.5,3.3311270822571943,2.1124326329860574,0.9752435337634653,5.9280783811592155
PM10,4.3688624154008915,2.4049210621913892,0.9594373138960925,7.875548036103271
CO2,32.85117765653956,26.136732225682568,-2.7105551740086966,24.04679001757666
TVOC,79.18563250186926,61.772966007086396,-0.8608564472812545,33.96382098082231
Temperature,2.088731517395164,1.6292249047079777,0.7069184254860227,1.5064574135269098
Humidity,6.7080224949282865,4.36517990548864,0.6161291539134774,6.597037717299932
Pressure,0.2959781328750584,0.1640539591452786,0.9776895811456263,0.32348974886420007
