Target,Train RMSE,Test RMSE,Test MAE,Test R2,CV RMSE
PM2.5,3.2529023188556723,3.9452814317022042,2.9525985633829324,0.9652734029683259,4.451999322692826
PM10,3.4982369314968285,4.026184810048659,3.005592814983175,0.9655509394760324,4.832532753547966
CO2,20.14819406914446,28.101891653959356,22.66299099835079,-1.7152393444889351,29.21658942515493
TVOC,18.468982578998403,32.62433522851989,26.579333737844372,0.6841335979920842,26.84186851542767
Temperature,1.222660313755986,2.213061098952257,1.777416434524799,0.6709892527393486,2.18990199093363
Humidity,4.352536734930261,5.714037071070491,4.157723756608552,0.721463434275605,8.141581063267562
Pressure,0.12051836406484781,0.12533271897849427,0.09514056682516418,0.9959994712651561,0.13070242854657216
